Team Name,Year,Total Home Attendance
Houston Astros,1985,1184383
Kansas City Royals,1985,2162715
Los Angeles Dodgers,1985,3264683
Milwaukee Brewers,1985,1359995
Minnesota Twins,1985,1652063
Montreal Expos,1985,1502494
New York Mets,1985,2751237
New York Yankees,1985,2214587
Oakland Athletics,1985,1334627
Philadelphia Phillies,1985,1830350
Pittsburgh Pirates,1985,735900
San Diego Padres,1985,2210352
San Francisco Giants,1985,818697
Seattle Mariners,1985,1127603
St. Louis Cardinals,1985,2661465
Texas Rangers,1985,1112461
Toronto Blue Jays,1985,2468925
California Angels,1985,2567787
Atlanta Braves,1986,1387152
Baltimore Orioles,1986,1973222
Boston Red Sox,1986,2146694
Chicago Cubs,1986,1859102
Chicago White Sox,1986,1424017
Cincinnati Reds,1986,1692432
Cleveland Indians,1986,1470977
Detroit Tigers,1986,1899437
Houston Astros,1986,1734266
Kansas City Royals,1986,2320764
Los Angeles Dodgers,1986,3033208
Milwaukee Brewers,1986,1265041
Minnesota Twins,1986,1256566
Montreal Expos,1986,1125164
New York Mets,1986,2762417
New York Yankees,1986,2268186
Oakland Athletics,1986,1314646
Philadelphia Phillies,1986,1918623
Pittsburgh Pirates,1986,1014629
San Diego Padres,1986,1805776
San Francisco Giants,1986,1532385
Seattle Mariners,1986,1028223
St. Louis Cardinals,1986,2498142
Texas Rangers,1986,1692021
Toronto Blue Jays,1986,2455477
California Angels,1986,2655459
Atlanta Braves,1987,1217403
Baltimore Orioles,1987,1845251
Boston Red Sox,1987,2231649
Chicago Cubs,1987,2035202
Chicago White Sox,1987,1208070
Cincinnati Reds,1987,2185205
Cleveland Indians,1987,1076898
Detroit Tigers,1987,2061830
Houston Astros,1987,1920997
Kansas City Royals,1987,2392471
Los Angeles Dodgers,1987,2800409
Milwaukee Brewers,1987,1908784
Minnesota Twins,1987,2082203
Montreal Expos,1987,1850324
New York Mets,1987,3027121
New York Yankees,1987,2427702
Oakland Athletics,1987,1678922
Philadelphia Phillies,1987,2100110
Pittsburgh Pirates,1987,1161193
San Diego Padres,1987,1454101
San Francisco Giants,1987,1917863
Seattle Mariners,1987,1133010
St. Louis Cardinals,1987,3073131
Texas Rangers,1987,1763749
Toronto Blue Jays,1987,2778459
California Angels,1987,2696208
Atlanta Braves,1988,848097
Baltimore Orioles,1988,1660738
Boston Red Sox,1988,2463339
Chicago Cubs,1988,2088534
Chicago White Sox,1988,1115655
Cincinnati Reds,1988,2062528
Cleveland Indians,1988,1421790
Detroit Tigers,1988,2081102
Houston Astros,1988,1933635
Kansas City Royals,1988,2349181
Los Angeles Dodgers,1988,2980262
Milwaukee Brewers,1988,1928238
