Team Name,Home Runs,Year
Cleveland Indians,110,1990
Detroit Tigers,172,1990
Houston Astros,94,1990
Kansas City Royals,100,1990
Los Angeles Dodgers,129,1990
Milwaukee Brewers,128,1990
Minnesota Twins,100,1990
Montreal Expos,114,1990
New York Mets,172,1990
New York Yankees,147,1990
Oakland Athletics,164,1990
Philadelphia Phillies,103,1990
Pittsburgh Pirates,138,1990
San Diego Padres,123,1990
Seattle Mariners,107,1990
San Francisco Giants,152,1990
St. Louis Cardinals,73,1990
Texas Rangers,110,1990
Toronto Blue Jays,167,1990
Atlanta Braves,141,1991
Baltimore Orioles,170,1991
Boston Red Sox,126,1991
California Angels,115,1991
Chicago Cubs,159,1991
Chicago White Sox,139,1991
Cincinnati Reds,164,1991
Cleveland Indians,79,1991
Detroit Tigers,209,1991
Houston Astros,79,1991
Kansas City Royals,117,1991
Los Angeles Dodgers,108,1991
Milwaukee Brewers,116,1991
Minnesota Twins,140,1991
Montreal Expos,95,1991
New York Mets,117,1991
New York Yankees,147,1991
Oakland Athletics,159,1991
Philadelphia Phillies,111,1991
Pittsburgh Pirates,126,1991
San Diego Padres,121,1991
Seattle Mariners,126,1991
San Francisco Giants,141,1991
St. Louis Cardinals,68,1991
Texas Rangers,177,1991
Toronto Blue Jays,133,1991
Atlanta Braves,138,1992
Baltimore Orioles,148,1992
Boston Red Sox,84,1992
California Angels,88,1992
Chicago Cubs,104,1992
Chicago White Sox,110,1992
Cincinnati Reds,99,1992
Cleveland Indians,127,1992
Detroit Tigers,182,1992
Houston Astros,96,1992
Kansas City Royals,75,1992
Los Angeles Dodgers,72,1992
Milwaukee Brewers,82,1992
Minnesota Twins,104,1992
Montreal Expos,102,1992
New York Mets,93,1992
New York Yankees,163,1992
Oakland Athletics,142,1992
Philadelphia Phillies,118,1992
Pittsburgh Pirates,106,1992
San Diego Padres,135,1992
Seattle Mariners,149,1992
San Francisco Giants,105,1992
St. Louis Cardinals,94,1992
Texas Rangers,159,1992
Toronto Blue Jays,163,1992
Atlanta Braves,169,1993
Baltimore Orioles,157,1993
Boston Red Sox,114,1993
California Angels,114,1993
Chicago Cubs,161,1993
Chicago White Sox,162,1993
Cincinnati Reds,137,1993
Cleveland Indians,141,1993
Colorado Rockies,142,1993
Detroit Tigers,178,1993
Florida Marlins,94,1993
Houston Astros,138,1993
Kansas City Royals,125,1993
Los Angeles Dodgers,130,1993
Milwaukee Brewers,125,1993
Minnesota Twins,121,1993
Montreal Expos,122,1993
New York Mets,158,1993
New York Yankees,178,1993
Oakland Athletics,158,1993
Philadelphia Phillies,156,1993
Pittsburgh Pirates,110,1993
San Diego Padres,153,1993
Seattle Mariners,161,1993
San Francisco Giants,168,1993
St. Louis Cardinals,118,1993
Texas Rangers,181,1993
Toronto Blue Jays,159,1993
Atlanta Braves,137,1994
Baltimore Orioles,139,1994
Boston Red Sox,120,1994
California Angels,120,1994
Chicago Cubs,109,1994
Chicago White Sox,121,1994
Cincinnati Reds,124,1994
Cleveland Indians,167,1994
Colorado Rockies,125,1994
Detroit Tigers,161,1994
Florida Marlins,94,1994
Houston Astros,120,1994
Kansas City Royals,100,1994
Los Angeles Dodgers,115,1994
Milwaukee Brewers,99,1994
Minnesota Twins,103,1994
Montreal Expos,108,1994
New York Mets,117,1994
New York Yankees,139,1994
Oakland Athletics,113,1994
Philadelphia Phillies,80,1994
Pittsburgh Pirates,80,1994
San Diego Padres,92,1994
Seattle Mariners,153,1994
San Francisco Giants,123,1994
St. Louis Cardinals,108,1994
Texas Rangers,124,1994
Toronto Blue Jays,115,1994
Atlanta Braves,168,1995
Baltimore Orioles,173,1995
Boston Red Sox,175,1995
California Angels,186,1995
Chicago Cubs,158,1995
Chicago White Sox,146,1995
Cincinnati Reds,161,1995
Cleveland Indians,207,1995
Colorado Rockies,200,1995
Detroit Tigers,159,1995
Florida Marlins,144,1995
Houston Astros,109,1995
Kansas City Royals,119,1995
Los Angeles Dodgers,140,1995
Milwaukee Brewers,128,1995
Minnesota Twins,120,1995
Montreal Expos,118,1995
New York Mets,125,1995
New York Yankees,122,1995
Oakland Athletics,169,1995
Philadelphia Phillies,94,1995
Pittsburgh Pirates,125,1995
San Diego Padres,116,1995
Seattle Mariners,182,1995
San Francisco Giants,152,1995
St. Louis Cardinals,107,1995
Texas Rangers,138,1995
Toronto Blue Jays,140,1995
Atlanta Braves,197,1996
